Date,'',PS4 player count,
2016-08-15,,0,
2016-08-16,,1400,
2016-08-17,,2600,
2016-08-18,,3400,
2016-08-19,,4000,
2016-08-20,,4900,
2016-08-21,,5600,
2016-08-22,,6000,
2016-08-23,,6300,
2016-08-24,,6600,
2016-08-25,,7000,
2016-08-26,,7300,
2016-08-27,,7500,
2016-08-28,,8400,
2016-08-29,,8500,
2016-08-30,,8900,
2016-08-31,,9100,
2016-09-01,,9400,
2016-09-02,,9600,
2016-09-03,,9900,
2016-09-04,,10100,
2016-09-05,,10100,
2016-09-06,,10400,
2016-09-07,,10700,
2016-09-08,,10700,
2016-09-09,,10900,
2016-09-10,,11100,
2016-09-11,,11500,
2016-09-12,,11500,
2016-09-13,,11700,
2016-09-14,,11900,
2016-09-15,,12000,
2016-09-16,,12100,
2016-09-17,,12300,
2016-09-18,,12300,
2016-09-19,,12500,
2016-09-20,,12500,
2016-09-21,,12500,
2016-09-22,,12700,
2016-09-23,,12800,
2016-09-24,,12900,
2016-09-25,,13000,
2016-09-26,,13100,
2016-09-27,,13100,
2016-09-28,,13100,
2016-09-29,,13200,
2016-09-30,,13300,
2016-10-01,,13300,
2016-10-02,,13300,
2016-10-03,,13400,
2016-10-04,,13500,
2016-10-05,,13600,
2016-10-06,,13700,
2016-10-07,,13700,
2016-10-08,,14100,
2016-10-09,,14100,
2016-10-10,,14200,
2016-10-11,,14200,
2016-10-12,,14200,
2016-10-13,,14200,
2016-10-14,,14500,
2016-10-15,,14600,
2016-10-16,,14900,
2016-10-17,,15000,
2016-10-18,,15300,
2016-10-19,,15500,
2016-10-20,,15500,
2016-10-21,,15700,
2016-10-22,,15900,
2016-10-23,,16100,
2016-10-24,,16200,
2016-10-25,,16300,
2016-10-26,,16500,
2016-10-27,,16600,
2016-10-28,,16600,
2016-10-29,,16700,
2016-10-30,,16900,
2016-10-31,,17000,
2016-11-01,,17200,
2016-11-02,,17200,
2016-11-03,,17200,
2016-11-04,,17300,
2016-11-05,,17500,
2016-11-06,,17500,
2016-11-07,,17700,
2016-11-08,,17700,
2016-11-09,,17800,
2016-11-10,,17900,
2016-11-11,,18000,
2016-11-12,,18100,
2016-11-13,,18200,
2016-11-14,,18200,
2016-11-15,,18200,
2016-11-16,,18200,
2016-11-17,,18200,
2016-11-18,,18200,
2016-11-19,,18300,
2016-11-20,,18500,
2016-11-21,,18600,
2016-11-22,,18600,
2016-11-23,,18700,
2016-11-24,,18900,
2016-11-25,,19100,
2016-11-26,,19500,
2016-11-27,,19900,
2016-11-28,,20400,
2016-11-29,,20800,
2016-11-30,,21100,
2016-12-01,,21400,
2016-12-02,,21800,
2016-12-03,,22200,
2016-12-04,,22400,
2016-12-05,,22800,
2016-12-06,,23000,
2016-12-07,,23300,
2016-12-08,,23400,
2016-12-09,,23800,
2016-12-10,,24100,
2016-12-11,,24200,
2016-12-12,,24300,
2016-12-13,,24700,
2016-12-14,,24700,
2016-12-15,,24900,
2016-12-16,,25100,
2016-12-17,,25300,
2016-12-18,,25500,
2016-12-19,,25600,
2016-12-20,,25700,
2016-12-21,,25800,
2016-12-22,,25900,
2016-12-23,,25900,
2016-12-24,,26100,
2016-12-25,,26300,
2016-12-26,,26400,
2016-12-27,,26500,
2016-12-28,,26800,
2016-12-29,,26900,
2016-12-30,,27200,
2016-12-31,,27300,
2017-01-01,,27500,
2017-01-02,,27600,
2017-01-03,,27700,
2017-01-04,,27700,
2017-01-05,,27800,
2017-01-06,,27900,
2017-01-07,,28000,
2017-01-08,,28000,
2017-01-09,,28000,
2017-01-10,,28000,
2017-01-11,,28100,
2017-01-12,,28200,
2017-01-13,,28300,
2017-01-14,,28400,
2017-01-15,,28600,
2017-01-16,,28600,
2017-01-17,,28700,
2017-01-18,,28700,
2017-01-19,,28700,
2017-01-20,,28900,
2017-01-21,,29000,
2017-01-22,,29100,
2017-01-23,,29200,
2017-01-24,,29400,
2017-01-25,,29400,
2017-01-26,,29400,
2017-01-27,,29500,
2017-01-28,,29600,
2017-01-29,,29700,
2017-01-30,,29800,
2017-01-31,,29900,
2017-02-01,,30000,
2017-02-02,,30100,
2017-02-03,,30100,
2017-02-04,,30200,
2017-02-05,,30400,
2017-02-06,,30600,
2017-02-07,,30700,
2017-02-08,,30800,
2017-02-09,,30900,
2017-02-10,,31000,
2017-02-11,,31100,
